#61	#74
SoilW	SoilW
(%)	(%)
24.84118681	13.97397852
24.84500867	13.9897234
24.77801385	13.92126232
24.48993615	13.40214784
24.30289022	13.74596935
24.42096296	13.48028909
24.75701615	16.27203109
24.82320163	16.29302426
24.78120622	14.56738551
24.66206255	13.82002859
26.88574267	14.25015535
25.88599119	14.13364325
25.20741015	13.84207142
24.8515283	13.45019887
24.61273	13.23350268
24.44569259	12.75964013
24.24578726	12.01776476
24.10748119	11.92154606
24.080998	12.23702678
24.01269926	12.37149972
25.44029031	12.21603361
25.05736874	12.14827231
24.75346407	14.99447994
24.49029585	16.96270645
24.2651663	13.26382615
24.07052163	12.13171103
23.94615407	11.08205243
24.37775356	9.580690734
24.66070548	11.01825651
24.6774317	11.92189595
26.6623217	11.30423017
25.21985185	11.83570731
24.97038889	15.41224407
24.69706944	16.29104158
24.43113889	15.80411661
24.20090278	13.90913294
24.08895105	12.51122093
24.05873611	15.47883907
24.08775	17.86914497
24.46370833	17.21415801
24.63825	17.31340905
24.47443056	17.63332167
24.30402778	17.72662466
24.202625	16.46551816
24.16998611	15.97696039
25.82798611	15.76562913
30.88545833	15.35066409
28.88415278	14.90514233
27.50966667	15.03938201
29.35793056	17.08131787
29.12140278	15.31310964
27.15173611	14.73346483
26.72233333	15.47603998
26.41920833	14.75352497
25.80193056	13.90656711
25.18843056	14.24199134
25.04233333	14.93255008
24.87805556	16.68279749
24.77977778	16.66996833
24.72283333	15.84808564
25.73452778	15.22015654
25.61863889	14.17807881
25.55690278	13.86003224
25.61105556	14.08419267
25.62538889	14.49647525
25.46355556	14.46778458
25.19291667	16.16939781
25.04433333	17.28308558
24.85984615	16.07411213
25.25486111	15.78125738
25.14230556	15.19018295
24.96531944	14.79667761
24.83959722	14.5219003
24.78763889	14.34555766
24.77966667	15.0901155
24.71934722	16.61247036
25.22963889	15.83257402
25.50986111	15.38413654
25.262625	14.8145218
25.06316667	14.4062046
24.94108333	14.22951207
24.87194444	14.00955028
24.78891667	13.65383265
25.00286111	13.42314101
25.52988889	15.04742938
25.33177778	14.8145218
25.23602778	14.4062046
25.08973611	14.22951207
24.95969444	14.00955028
24.85005556	13.65383265
24.76504167	13.42314101
24.69334722	13.29799837
25.56780556	14.90418614
27.18611111	16.08213778
27.10865278	16.32424304
26.72851389	15.92879496
26.30181944	15.62367405
25.50691667	15.45553749
25.46955556	15.41855314
27.00468056	15.36819752
27.88743056	15.89479781
28.21280556	16.68697419
27.14422222	16.17858159
26.75602778	15.92851047
26.23923611	15.67986182
25.45226389	15.45596423
25.84961111	15.29166836
25.42356944	15.19977647
25.182875	14.97545214
24.9495	16.56748628
24.78716667	16.8579557
25.1175	16.4268035
25.36656944	16.1010567
25.19846154	15.85582199
28.38386363	15.50233692
27.20683687	16.24074375
26.52347607	17.08839667
26.18256689	17.56691729
27.22080667	16.71841089
27.43887704	16.11144076
27.30493237	15.73064418
26.9913157	15.69223735
27.20502467	16.21030278
27.49463111	17.19394432
27.21689489	16.48711644
26.55715333	16.07004674
26.06791133	15.71328998
25.66962941	15.3149757
25.30785741	16.22281377
24.97639044	17.03011786
24.59550919	15.73273983
24.17312711	14.87353594
23.68982022	14.42999687
23.30833333	14.29552394
23.16138889	15.49796619
22.86466667	16.53059699
22.55348611	15.23333558
22.51033333	14.61555318
23.0135	14.42999687
22.99288889	14.29552394
22.74579167	15.49796619
22.38413986	16.72623451
21.95622222	16.37559439
21.54861111	16.03576509
21.40848611	15.64316196
21.17988889	15.31158301
20.91163889	15.02097135
20.74444444	14.35383052
20.62598601	13.7381833
20.35720833	13.21257874
20.30055556	13.12481203
20.32265278	12.80532412
20.30651389	11.80902256
20.21226389	11.15909368
20.05238889	14.22765698
19.91719444	16.57715911
19.86480556	15.94586466
19.78256944	15.09195286
19.72629545	14.01400122
19.48665672	12.61585044
19.49756944	11.53889453
19.60154167	11.80688884
19.59133333	10.84429994
19.53244444	9.865210323
19.43845833	9.245437919
19.284625	8.628652713
19.09666667	8.497216013
19.02105556	12.18228002
19.24101389	10.66478358
19.46805556	9.712009754
19.45323611	8.975878886
19.36152778	8.237898801
19.26088889	10.60333266
19.18515278	9.512436497
18.95659722	8.51622028
18.70516667	9.799136354
18.47506944	10.84879496
18.29502778	9.799136354
17.98198611	8.656390977
17.63766667	8.127514733
17.30752778	7.388396667
17.02372222	6.651412315
16.73645833	5.977301362
16.42352778	5.407315586
16.23468056	5.127372485
16.12191667	4.925523268
16.07323611	5.210871774
16.11822222	5.511014022
16.29031944	5.621113595
16.34354167	6.387400935
16.31868056	6.72367405
16.18322222	5.92139809
16.01359722	5.401910181
15.86805556	5.08825442
15.81918056	4.724527535
15.69241667	4.194086568
15.51763889	3.845722414
15.30476389	3.65112782
15.08570833	3.504470636
14.92740278	3.35397277
14.86430556	3.102336923
14.78243056	3.091952855
14.63769444	3.715565942
14.46705556	7.932635643
14.30076389	11.84316196
14.14508333	9.215992684
14.00820833	8.049705344
13.86080556	7.548282869
13.83761111	6.725665515
13.81561111	5.585124975
13.71033333	4.627372485
13.59379167	4.416846169
13.48069444	4.026661248
13.36591667	3.555821987
13.23276389	3.013574477
13.10697222	2.633489128
13.02681944	2.453119285
12.94525	2.470757976
12.87140278	2.347144889
12.82344444	2.149989839
12.74548611	2.001341191
12.65415278	1.877301362
12.60409722	1.702052428
12.68559722	1.639179029
12.83066667	1.534911603
12.92170833	1.597358261
12.97277778	1.660089413
13.00169444	1.545864662
13.00447222	1.482706767
12.97548611	1.299918716
12.95429545	1.868382443
12.95200438	1.751753709
12.90664533	1.576810608
12.81616155	1.460181874
16.73458724	1.307164975
16.85100781	1.223192286
16.46344132	1.635124975
17.02705078	2.801412315
18.11598585	4.550843325
