#15	#51	#53	#60
SoilW	SoilW	SoilW	SoilW
35.20127315	18.65600649	21.97166667	18.88150463
35.2612963	19.19659722	22.93743056	20.03085648
35.26796296	19.09326389	22.5306713	19.22685185
35.19479167	18.90958333	22.28768519	18.90550926
35.2194213	18.76329861	22.11907407	18.67928241
35.27703704	18.66567708	22.02837963	18.59548611
35.28138889	18.70659722	22.43719907	19.55488426
35.22150463	18.84208333	22.69224537	19.49115741
35.19868056	18.84118056	22.40719907	19.035625
35.2480787	19.30177083	23.31335648	20.52775463
35.81094771	19.26605903	22.7073913	19.44006944
36.86766234	19.00443841	22.3555787	19.043125
36.87541667	18.85246528	22.18006944	18.88206019
36.90423611	18.923125	22.71458333	19.90863426
36.85930556	19.20006944	22.82685185	19.54168981
36.85305556	19.15944444	22.75789352	19.63291667
36.838125	19.15611111	22.59643519	19.35018519
36.79125	19.10064236	22.70645833	19.55310541
36.813125	19.24319444	22.85555556	19.71666667
36.79402778	19.17700495	22.71256944	19.49372549
36.82263889	18.9664899	22.37291667	19.33111111
36.85819444	18.86539063	22.12104167	19.31833333
36.88284722	18.65125087	21.91599537	19.0812037
36.92861111	18.52454545	21.72974537	18.77930556
36.98763889	18.43711111	21.55909722	18.41173611
36.90402778	18.33357639	21.36300926	17.73636574
36.370625	18.19643357	21.14555556	17.41638889
33.35729167	18.04810764	20.89673611	17.15011574
32.35666667	17.92696181	20.7080787	16.98356481
31.95444444	17.8153125	20.488125	16.85627315
31.230625	17.65307292	20.18030093	16.58680556
30.924375	17.48699653	19.88564815	16.59611111
32.22097222	17.82810764	20.28671296	18.03689815
32.164375	18.20953125	21.30733796	19.33956019
31.59506944	18.12979167	21.38171296	18.90553241
31.06541667	18.00923611	21.04041667	18.38256944
30.44263889	17.80255208	20.63352778	17.714375
27.13566319	17.54230903	19.92820059	17.09731481
28.28807292	17.30807292	19.47409722	16.82159722
30.10659722	17.56751736	19.35071759	17.43275463
29.40805556	17.36079861	19.14247685	16.9918287
27.16358333	17.07055556	18.84231481	16.48949074
28.85034722	16.86300347	18.68746269	16.19180556
28.69368056	16.64545139	18.58342183	15.88865741
28.59854167	16.28282986	19.40509542	15.72918981
30.30576389	16.32269097	19.99579431	16.93055556
29.92701389	16.29729167	19.86474681	16.62958333
29.55576389	16.19694056	19.73629431	16.29787879
29.16377358	15.99894097	19.60066566	15.94909722
22.67850672	15.74982639	17.35676332	15.59252315
22.03641565	15.62185764	17.13459981	15.99638889
21.65714329	15.54626866	17.00337158	15.87814815
21.03116115	15.42151042	16.78678176	15.61810185
20.10901001	15.23772569	16.46771746	15.29793981
19.99475758	15.06295139	16.42818612	14.97377315
29.18458333	15.01151042	17.19902954	15.49548611
30.46076389	15.15133681	17.29459524	16.0550463
29.15117014	15.14286458	17.32027778	15.79185185
28.17995833	15.08352431	17.25837963	15.47643519
28.91958333	14.98236111	17.14946759	15.12585648
23.52993056	14.82986111	16.96393519	14.75706019
22.51570139	14.64484375	16.74037037	14.36923611
24.77709722	14.56026042	16.6419213	14.139375
29.40618056	14.59345486	18.08944444	15.35921296
26.18470486	14.75190972	18.39039627	16.27638889
24.98034375	14.82083916	17.9887963	16.06868106
21.72370833	14.8040625	17.60486111	15.74668981
15.94826042	14.74855903	17.64497685	15.43273148
16.63307292	14.69114583	17.32439815	15.26902778
22.31065625	14.53921875	16.87803241	14.84689815
20.52666319	14.44282468	16.5050463	14.39298368
15.43073958	14.22195122	16.22671296	13.95240741
18.59418403	14.14454861	16.05939815	13.61949074
20.87679514	13.95272569	15.79034946	13.09122685
20.41359375	13.75036458	15.35703629	12.56944444
15.57421181	13.53817708	14.96418215	12.10131944
15.84499653	13.36409722	14.63065533	11.70388889
15.85029167	13.21805556	14.3334359	11.34972222
15.61855903	13.0415625	14.07881793	11.04631944
15.62349306	12.93364583	16.1862963	11.001875
15.62918403	12.85628472	15.73222222	10.9887037
14.95897917	12.85461806	15.37212121	11.65643519
23.265375	13.09868056	16.50761574	12.75803241
26.37489583	13.39880208	16.73652778	14.01659722
26.78802083	13.26791667	16.00342593	13.95108796
28.15395833	13.20076923	15.61800926	13.68050926
27.88927083	13.05893411	15.19763889	13.15361111
23.56993056	12.91027778	14.82013889	12.55645833
23.81797203	12.97961806	14.54576389	12.10925926
23.10576389	13.12774306	14.51840278	12.16694444
24.47767361	12.81743056	14.42659722	11.76712963
22.67409722	12.59225694	14.269375	11.32377315
25.44319444	12.39920139	14.08414352	10.87145833
26.74909722	12.20734375	13.90543981	10.63
21.68506944	12.05598958	13.77634033	10.78437914
25.37881356	12.45381944	13.77893519	10.78690394
31.3340566	12.21650709	13.77561772	10.37622642
23.31246528	11.97415179	13.64523148	10.17891204
27.09444444	11.76815972	13.52527778	9.943449074
26.32871528	11.61578671	13.40064815	9.766736111
22.47072917	11.4584375	13.29393519	9.601875
26.77045139	11.32513889	13.1918287	9.481759259
26.609375	11.214375	13.20675926	9.426550926
20.32395833	11.35159722	14.04303241	10.36106481
26.02225694	11.31661458	13.51243056	10.01918981
26.92829861	11.18654514	13.22805556	9.641365741
25.79223776	11.06060764	13.09493056	9.401550926
25.92663194	10.94659896	13.0094213	9.249027778
26.13916667	10.83175174	12.93525463	9.13969213
25.81375	10.72803125	12.85409722	9.017949074
25.27409722	10.61997396	12.76747685	8.929166667
25.62225694	10.54652083	12.72680556	8.940569444
27.65454861	10.46975347	12.68159722	8.951972222
27.29958333	10.41269618	12.62268519	8.899444444
24.35322917	10.37897569	12.59613426	8.944814815
26.45708333	10.33470486	12.56101852	8.896641204
27.29131944	10.27062674	12.48988345	8.779240741
21.61072917	10.35588715	16.5343287	10.25361806
19.60798611	10.66097569	18.60275463	13.47189815
23.68715278	10.71922222	17.29201389	13.44405093
26.3303125	10.77834549	16.31541667	13.18534722
27.20239583	10.81663368	15.56831019	12.75180556
27.160625	10.79433333	14.91872685	12.2287037
27.69100694	10.75665799	14.38180556	11.69506944
27.61440972	10.69296701	13.95895833	11.16488426
23.26027778	10.61393229	13.62599537	10.66433566
21.17944444	10.590875	13.47032407	10.30712963
21.07836806	10.55323264	13.41152778	10.07638889
20.9228125	10.47814236	13.26516204	9.764143519
22.79302083	13.72994792	18.17439815	12.43282407
22.96951389	13.8265625	18.27844907	14.64041667
22.59770833	13.50493056	17.38733796	14.52108796
24.12361111	13.97265625	18.86893519	17.42881944
26.62038194	14.87633681	20.10106481	19.20282407
26.14494318	14.86123264	19.91898148	18.58600939
26.11514841	14.77510417	19.72289352	18.03893519
25.85421022	14.66779514	19.45868056	17.51189815
25.53806214	14.52366319	19.13856481	17.03006944
25.15431337	14.36137153	18.75	16.5775
24.82963804	14.19661458	18.42125	16.12201389
24.59741357	14.06685764	18.18611111	15.71710648
24.41744989	13.95374126	18.00388889	15.33368056
24.25812991	13.84649306	17.84256944	15.13652778
24.08581197	13.75282986	17.68296296	15.06030093
23.93997685	13.61414931	17.46574074	14.80555556
23.66196759	13.46227431	17.23444444	14.544375
23.46655093	13.34364583	17.05833333	14.32148148
24.40699074	13.72529514	18.12136574	15.10217593
25.40189815	14.03446181	20.49496503	19.18043981
30.95205128	14.16050347	20.88675926	19.2518287
33.78796296	14.30366319	20.92405093	18.61717593
32.87930556	14.46690972	21.16386574	18.83861111
31.68180556	14.59595486	21.31886574	18.95275463
30.87729167	14.63972222	21.08842593	18.47358796
30.72740741	14.68032986	20.9819213	18.37240741
30.69916667	14.71094406	20.953125	18.40402778
30.51173611	14.69887153	20.80111111	18.1356713
30.35196759	14.66008741	20.61128205	17.85190141
30.24631944	14.6277972	20.47027778	17.62050926
30.24231481	14.59717014	20.38208333	17.58645833
30.19300926	14.54022569	20.28453704	17.46497685
30.07289352	14.4425	20.13430556	17.25585648
29.96303241	14.34527778	19.99967593	17.04844907
29.88030093	14.27989583	19.89787037	16.87071759
29.81344907	14.19821181	19.80354167	16.72212963
29.7719213	14.12010417	19.726875	16.58243056
29.72449074	14.07085069	19.68053241	16.4387037
29.5930787	14.01559028	19.58347222	16.21476852
29.40333333	13.92104167	19.45377315	15.94902778
29.21766204	13.82482639	19.31743056	15.75372685
29.0562037	13.74660211	19.19696759	15.59761574
28.9531713	13.69263889	19.11601852	15.50935185
28.85384259	13.63423611	19.03819444	15.4193287
28.73717593	13.59390625	18.96326389	15.30935185
28.66365741	13.55180556	18.90365741	15.22349537
30.14141204	14.29335069	20.24310185	17.97881944
32.94708333	14.13534965	21.30544304	18.93865741
33.01326389	14.09458333	21.56490101	18.51108796
32.94043981	14.14942708	21.82435897	18.23423611
32.52287037	14.2325	21.76801865	18.21909722
31.83921296	14.27432292	21.91289352	18.63810185
31.09891204	14.32831597	21.87638889	18.43277778
30.75356481	14.38774306	21.83923611	18.28956019
30.64909722	14.46144828	21.79614035	18.17354167
30.56363426	14.51866319	21.73713994	18.0399537
30.52972222	14.56786458	21.67813953	17.93513889
30.52275463	14.63220486	21.64770833	17.89488426
30.51912037	14.68986111	21.61689815	17.85974537
30.51493056	14.74545139	21.59956019	17.82601852
30.50895833	14.79105903	21.59763889	17.86835648
30.49016204	14.81454861	21.57532407	17.87226852
30.40030093	14.83065972	21.49293981	17.73604167
30.24592593	14.83723958	21.41143519	17.60569444
30.18222222	14.83376736	21.34650463	17.51074074
30.90180556	14.85963542	21.89819444	18.8080787
32.37474537	15.03902778	22.37550617	19.10699074
